top - 13:52:20 up 45 days, 21:51,  2 users,  load average: 0.26, 0.27, 0.27
Tasks: 779 total,   1 running, 674 sleeping,   1 stopped,   1 zombie
%Cpu(s):  2.4 us,  0.7 sy,  0.0 ni, 96.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 32705352 total,  9926436 free, 17225348 used,  5553568 buff/cache
KiB Swap:  2097148 total,  1368572 free,   728576 used. 13096016 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  507 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cryptd
  554 root       0 -20       0      0      0 I   0.0  0.0   0:03.50 kworker/12:1H-k
  557 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop6
  616 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop7
  659 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop8
  669 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop9
  670 zhoulin   20   0 4938112 495916 160308 S   0.0  1.5   1:35.52 qtcreator
  685 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop10
  690 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop11
  746 root      20   0       0      0      0 I   0.0  0.0   0:00.55 kworker/1:0-mm_
  783 root       0 -20       0      0      0 S   0.0  0.0   0:00.02 loop12
  784 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop13
  788 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop14
  826 root      20   0       0      0      0 I   0.0  0.0   0:00.32 kworker/15:0-me
  876 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop15
  880 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop16
  885 root      20   0  121812   3984   3156 S   0.0  0.0   2:29.60 todeskd
  886 root      20   0  503564   8272   6224 S   0.0  0.0   4:43.63 udisksd
  887 root      20   0   33068   2628   2348 S   0.0  0.0   0:06.33 cron
  888 root      20   0    4556    876    824 S   0.0  0.0   2:34.81 acpid
  890 root      20   0  110528   3308   3080 S   0.0  0.0   5:24.17 irqbalance
